Interface 1: Description=FastEthernet0/0  Type=6  MTU=1500  Speed=7032000  PhysAdress=0:1b:53:b8:9:d8  adminStatus=1  operStatus=1  LastChange=90 days, 1:10:45.14  inOctets=876871952  inUcast=795673793  inDiscards=17  inErrors=139674  inUnknown=149774  outOctets=898589570  outUcast=654475158  outDiscards=0  outErrors=0
Interface 2: Description=FastEthernet0/1  Type=6  MTU=1500  Speed=100000000  PhysAdress=0:1b:53:b8:9:d9  adminStatus=1  operStatus=1  LastChange=0:00:47.23  inOctets=949881673  inUcast=1951244857  inDiscards=1612  inErrors=81346  inUnknown=227730  outOctets=3698742257  outUcast=2090063042  outDiscards=25  outErrors=0
Interface 3: Description=FastEthernet0/1/0  Type=6  MTU=1500  Speed=100000000  PhysAdress=0:15:f9:60:33:fc  adminStatus=1  operStatus=1  LastChange=12 days, 23:32:04.38  inOctets=917760  inUcast=0  inDiscards=0  inErrors=0  inUnknown=0  outOctets=289924321  outUcast=4522122  outDiscards=0  outErrors=0
Interface 4: Description=FastEthernet0/1/1  Type=6  MTU=1500  Speed=100000000  PhysAdress=0:15:f9:60:33:fd  adminStatus=1  operStatus=1  LastChange=12 days, 23:32:05.02  inOctets=917760  inUcast=0  inDiscards=0  inErrors=0  inUnknown=0  outOctets=289924193  outUcast=4522120  outDiscards=0  outErrors=0
Interface 5: Description=FastEthernet0/1/2  Type=6  MTU=1500  Speed=100000000  PhysAdress=0:15:f9:60:33:fe  adminStatus=1  operStatus=2  LastChange=0:00:53.81  inOctets=0  inUcast=0  inDiscards=0  inErrors=0  inUnknown=0  outOctets=0  outUcast=0  outDiscards=0  outErrors=0
Interface 6: Description=FastEthernet0/1/3  Type=6  MTU=1500  Speed=100000000  PhysAdress=0:15:f9:60:33:ff  adminStatus=1  operStatus=2  LastChange=0:00:53.81  inOctets=0  inUcast=0  inDiscards=0  inErrors=0  inUnknown=0  outOctets=0  outUcast=0  outDiscards=0  outErrors=0
Interface 7: Description=Serial0/0/0  Type=22  MTU=1500  Speed=2048000  PhysAdress=  adminStatus=1  operStatus=1  LastChange=96 days, 18:36:23.84  inOctets=2263956679  inUcast=59170477  inDiscards=0  inErrors=27037  inUnknown=149707  outOctets=1113992561  outUcast=41962303  outDiscards=9555  outErrors=0
Interface 8: Description=Null0  Type=1  MTU=1500  Speed=4294967295  PhysAdress=  adminStatus=1  operStatus=1  LastChange=0:00:00.00  inOctets=3673501208  inUcast=28591952  inDiscards=0  inErrors=0  inUnknown=0  outOctets=0  outUcast=0  outDiscards=0  outErrors=0
Interface 9: Description=Vlan1  Type=6  MTU=1500  Speed=100000000  PhysAdress=0:1b:53:b8:9:d8  adminStatus=1  operStatus=2  LastChange=0:00:32.59  inOctets=0  inUcast=0  inDiscards=0  inErrors=0  inUnknown=0  outOctets=1151698  outUcast=14958  outDiscards=0  outErrors=0
Interface 11: Description=Loopback0  Type=24  MTU=1514  Speed=4294967295  PhysAdress=  adminStatus=1  operStatus=1  LastChange=0:00:47.91  inOctets=0  inUcast=0  inDiscards=0  inErrors=0  inUnknown=0  outOctets=120860  outUcast=182  outDiscards=0  outErrors=0
Interface 12: Description=Loopback150  Type=24  MTU=1514  Speed=4294967295  PhysAdress=  adminStatus=1  operStatus=1  LastChange=0:00:47.91  inOctets=0  inUcast=0  inDiscards=0  inErrors=0  inUnknown=0  outOctets=0  outUcast=0  outDiscards=0  outErrors=0
